location_index,location,feature_completeness_percent,number_of_values,number_of_empty_fields,number_of_records,mean,median,_mode_,max,min,_range_
1,Afghanistan,100.00,471219,399,471618,177.9695,65.0000,106,3243,0,3243
2,Africa,100.00,2590944,0,2590944,11057.7961,7827.0000,57,72463,0,72463
3,Albania,100.00,1236372,0,1236372,282.4095,88.5000,80,2832,0,2832
4,Algeria,100.00,1137084,0,1137084,229.7538,127.0000,128,2521,0,2521
5,"American Samoa",100.00,141840,0,141840,7.0423,0.0000,1077,955,0,955
6,Andorra,100.00,432612,0,432612,40.5389,0.0000,637,1676,0,1676
7,Angola,100.00,659556,0,659556,89.0998,24.0000,419,5611,0,5611
8,Anguilla,100.00,134748,0,134748,3.3029,0.0000,1052,196,0,196
9,"Antigua and Barbuda",100.00,96842,82,96924,7.7172,0.0000,835,468,0,468
10,Argentina,99.00,1910112,9696,1919808,8498.2716,2316.5000,361,135401,0,135401
11,Armenia,100.00,1340388,0,1340388,379.1464,137.5000,331,4388,0,4388
12,Aruba,99.00,204313,1038,205351,37.3709,0.0000,706,2138,0,2138
13,Asia,100.00,2751696,11640,2763336,249948.8181,120589.5000,10,7213891,0,7213891
14,Australia,100.00,531900,450,532350,9371.9382,0.0000,617,588813,0,588813
15,Austria,99.00,1183362,6012,1189374,5101.5030,2380.0000,56,63508,0,63508
16,Azerbaijan,100.00,1550784,0,1550784,701.7090,157.0000,78,7779,0,7779
17,Bahamas,100.00,366420,0,366420,31.7183,10.0000,356,1846,0,1846
18,Bahrain,100.00,1595700,0,1595700,589.3519,287.0000,186,8173,0,8173
19,Bangladesh,100.00,1940844,8210,1949054,1724.2081,587.0000,80,16230,0,16230
20,Barbados,100.00,739932,0,739932,90.3536,3.0000,468,1646,0,1646
21,Belarus,100.00,1479864,0,1479864,840.9788,562.0000,414,11170,0,11170
22,Belgium,100.00,2416008,0,2416008,4033.6125,1763.0000,64,76079,0,76079
23,Belize,100.00,283440,720,284160,59.9746,1.0000,573,1394,0,1394
24,Benin,100.00,264768,0,264768,23.6878,0.0000,975,3440,0,3440
25,Bermuda,100.00,286044,0,286044,15.9467,0.0000,779,689,0,689
26,Bhutan,100.00,180693,153,180846,53.0474,1.0000,525,2291,0,2291
27,Bolivia,100.00,1900656,0,1900656,1011.5491,478.5000,129,23611,0,23611
28,"Bonaire Sint Eustatius and Saba",100.00,114557,97,114654,10.0144,0.0000,810,694,0,694
29,"Bosnia and Herzegovina",100.00,1323840,0,1323840,340.1658,118.0000,78,3342,0,3342
30,Botswana,100.00,619368,0,619368,279.0288,0.0000,822,40223,0,40223
31,Brazil,100.00,1267213,1073,1268286,31503.1753,22584.0000,101,298408,0,298408
32,"British Virgin Islands",100.00,151296,0,151296,6.1802,0.0000,1068,784,0,784
33,Brunei,100.00,656080,1112,657192,240.1229,0.0000,701,12420,0,12420
34,Bulgaria,99.00,924723,4698,929421,1100.3870,346.0000,72,12399,0,12399
35,"Burkina Faso",100.00,300228,0,300228,18.6599,0.0000,600,1005,0,1005
36,Burundi,100.00,460980,0,460980,45.4196,5.0000,482,1576,0,1576
37,Cambodia,100.00,695016,0,695016,117.3629,5.0000,385,1130,0,1130
38,Cameroon,100.00,479892,0,479892,105.5338,0.0000,921,8681,0,8681
39,Canada,100.00,969848,4120,973968,3930.2005,1773.0000,295,49148,0,49148
40,"Cape Verde",100.00,503532,0,503532,53.5195,18.0000,252,1469,0,1469
41,"Cayman Islands",100.00,250584,0,250584,26.6261,0.0000,869,2146,0,2146
42,"Central African Republic",100.00,276588,0,276588,13.0008,1.0000,564,467,0,467
43,Chad,100.00,156024,0,156024,6.5042,0.0000,690,596,0,596
44,Chile,100.00,2479836,10490,2490326,4446.3790,2639.0000,61,41651,0,41651
45,China,100.00,1574424,0,1574424,83957.8198,117.0000,21,6966046,0,6966046
